ObjectId,DBA_Name,License_Effective_Date,NAICS_Code,NAICS_Description,Exempt,City,State,Zip_Code
1,A & E VENDING LLC,4/15/2018,'05-5900,MISC RETAIL,No,Boulder,CO,80301
2,A & M AUTOMOTIVE,11/11/1991,'10-7538,GENERAL AUTO REPAIR,No,BOULDER,CO,80304
3,A AND A QUALITY APPLIANCE,7/1/1990,'10-7629,ELECTRICAL REPAIR SHOPS,No,BOULDER,CO,80302
4,A BEAUTIFUL MEMORY,1/1/1995,'05-5963,HOME BASED & DIRECT SALES,No,BOULDER,CO,80303
5,A CHANGE IN GREENERY INC,3/1/1989,'05-5963,HOME BASED & DIRECT SALES,No,LOVELAND,CO,80538
6,A CLOSE KNIT LLC,12/1/2018,'03-5699,MISC APPAREL,No,Boulder,CO,80302
7,A COMPANY,1/1/1991,'10-3843,DENTAL EQUIPMENT & SUPPLIES-MFG,No,ORANGE,CA,92867
8,A CUP OF PEACE,4/1/2007,'02-5812,EATING PLACES,No,BOULDER,CO,80301
9,A GOOD EARTH MAINTENANCE,1/1/2000,'10-782,LAWN AND GARDEN,No,LAFAYETTE,CO,80026
10,A HOLISTIC SOLUTION ,5/26/2018,'10-3910,JEWELRY,No,Reeds Spring,MO,65737
11,A LITTLE CANDLE CO ,11/30/2018,'05-5900,MISC RETAIL,No,Colorado Springs,CO,80922
12,A MELLOW MOOD,1/1/2007,'10-7231,BEAUTY SHOPS A,No,Boulder,CO,80304
13,A NEW LIGHT,10/16/1995,'05-5963,HOME BASED & DIRECT SALES,No,Boulder,CO,80303
14,A NUTTER KIND ,6/3/2018,'10-3910,JEWELRY,No,Denver,CO,80238
15,A PLACE TO B,8/15/2006,'10-8299,MISC SCHOOLS,No,BOULDER,CO,80301
16,A PLUS DOORS LLC ,8/5/2019,'08-5211,LUMBER & OTHER BLDG MATS,No,Wheat Ridge,CO,80033
17,A R T ,1/31/2018,'05-5900,MISC RETAIL,Yes,Boulder,CO,80301
18,A R T SQUARED LLC,10/1/2018,'05-5900,MISC RETAIL,No,Boulder,CO,80301
19,A TAKEAR,6/15/2018,'02-5812,EATING PLACES,No,Boulder,CO,80301
20,A THRU Z KITCHEN BATH CENTER,10/1/1987,'05-5999,MISC RETAIL STORES,No,BOULDER,CO,80301
21,A TIP TOP TREE COMPANY LLC,11/6/2013,'10-781,LANDSCAPE SERVICES,No,Wheat Ridge,CO,80033
22,A TO ZOANTHID,4/2/2019,'05-5900,MISC RETAIL,No,Boulder,CO,80301
23,A TRAIN OF THOUGHT ,5/2/2018,'05-5900,MISC RETAIL,No,Albuquerque,NM,87110
24,A&B CANDLES CO,10/26/2019,'05-5900,MISC RETAIL,No,Morrison,CO,80465
25,A&B PROCESS SYSTEMS CORP,2/1/2010,'10-7699,MISC REPAIR SHOPS,No,STRATFORD,WI,54484-0086
26,A&E METAL FABRICATION ,7/6/2017,'10-3499,FABRICATED METAL,No,Loveland,CO,80537
27,"A&K APPLIANCE SERVICE, INC",7/1/2007,'04-5722,HOUSEHOLD APPLIANCE STORES,No,WHEAT RIDGE,CO,80033
28,A&M REMODEL INC,4/1/2017,'09-1522,GENERAL CONTRACTORS,No,Superior,CO,80027
29,A&M Window Service,3/1/2016,'10-7399,MISC BUSINESS SVCS,No,Northglenn,CO,80234
30,A-1 GARAGE DOOR SERVICES LLC,10/1/2019,'09-1796,INSTALLATION BUILDING EQUIPMENT,No,Tempe,AZ,85281
31,A-1 SECURITY SYSTEMS LLC,10/1/2018,'09-1796,INSTALLATION BUILDING EQUIPMENT,No,Denver,CO,80231
32,"A-ABILITY GLASS CO, INC",4/1/2000,'10-7536,GLASS REPLACEMENT,No,BOULDER,CO,80304
33,"A-B & C ENTERPRISES, INC",6/25/2008,'10-2759,COMMERICAL PRINTING,No,ENGLEWOOD,CO,80110
34,A-C PLUMBING COMPANY,1/1/2017,'09-1522,GENERAL CONTRACTORS,No,Black Hawk,CO,80422
35,"A-LAN COMPUTING SOLUTIONS, INC",10/1/2007,'10-7389,BUSINESS SERVICES ALL OTHER,No,Boulder,CO,80305
36,A-OK LIQUOR,3/16/2015,'05-5921,LIQUOR STORES,No,Boulder,CO,80301
37,A-PRO HOME INSPECTION SERVICES OF BOULDER COUNTY,12/1/2005,'10-7389,BUSINESS SERVICES ALL OTHER,No,Longmont,CO,80504
38,A-SHED USA,8/1/2015,'05-5999,MISC RETAIL STORES,No,Denver,CO,80229
39,AA HONEY,10/18/2017,'10-3999,MANUFACTURING ALL OTHER,No,Berthoud,CO,80513
40,AAA AUTO CLUB,6/27/1978,'10-8699,MISC MEMBERSHIP ORGS,No,BOULDER,CO,80301-1100
41,AAA ELECTRIC COMPANY INC,1/1/1962,'09-1700,SPECIAL TRADE CONTRACTORS A,No,Longmont,CO,80501
42,"AAA STORAGE CONTAINERS, LLC",7/1/2014,'06-4225,WAREHOUSING STORAGE-GENERAL,No,Boulder,CO,80301
43,AAA WATERPROOFING FRONT RANGE INC,1/1/1989,'09-1521,SINGLE FAMILY HOUSING CONSTRUCTION,No,Broomfield,CO,80020
44,AAF International,1/1/2012,'10-3999,MANUFACTURING ALL OTHER,No,Louisville,KY,40223
45,AAKTIVE SATELLITE,11/1/2003,'06-4899,COMMUNICATIONS ALL OTHER,No,LITTLETON,CO,80125
46,AAMOVEMENT,6/22/2011,'10-7999,AMUSEMENT & RECREATION,No,BOULDER,CO,80304
47,AARON BARKLEY ART LLC,6/28/2018,'05-5900,MISC RETAIL,No,Colorado Springs,CO,80921
